step,reward,cpu_temp,gpu_temp,fan_rpm
261,10.274596,89.0,78.0,1998.4668
262,10.316717,89.0,78.0,1872.1035
263,9.873954,89.0,74.0,2031.6846
264,10.160637,89.0,76.0,1031.6846
265,11.162644,89.0,76.0,31.68457
266,9.970734,90.0,74.0,0.0
267,9.768675,90.0,74.0,0.0
268,10.760321,89.0,73.0,25.061832
269,10.291014,89.0,74.0,1025.0619
270,11.05441,89.0,78.0,1533.2173
271,10.743015,89.0,78.0,637.33093
272,9.887376,89.0,74.0,204.24762
273,9.820676,89.0,73.0,1204.2476
274,10.154009,89.0,73.0,204.24756
275,10.922785,90.0,73.0,37.868683
276,9.918851,89.0,72.0,1037.8687
277,11.498132,89.0,72.0,644.8674
278,11.961224,89.0,72.0,168.06421
279,11.62789,90.0,72.0,1168.0642
280,11.734493,89.0,73.0,1212.5938
281,12.058693,89.0,72.0,742.42834
282,10.404387,89.0,72.0,1742.4283
283,10.2267685,89.0,73.0,1479.0878
284,10.4603,89.0,72.0,2479.088
285,10.033306,89.0,73.0,2315.5474
286,8.202197,89.0,72.0,3315.5474
287,6.9164896,88.0,72.0,3380.5044
288,7.290229,88.0,72.0,4380.5044
289,7.7910004,88.0,73.0,3380.5044
290,8.029046,90.0,74.0,2380.5044
291,8.378824,89.0,73.0,2513.505
292,8.445502,89.0,73.0,1539.0496
293,9.276015,89.0,72.0,741.05316
294,9.335253,89.0,72.0,1741.0532
295,8.153504,89.0,71.0,2652.7207
296,8.530135,89.0,71.0,1932.9961
297,7.4733477,89.0,71.0,2303.044
298,8.254959,89.0,71.0,2958.21
299,9.928637,89.0,71.0,3144.5986
300,10.798756,89.0,71.0,2957.67
301,9.13209,89.0,71.0,1957.6699
302,9.465423,89.0,71.0,957.6699
303,10.292417,89.0,71.0,1103.0066
304,10.53472,89.0,71.0,103.00659
305,10.183913,89.0,71.0,566.98395
306,9.65595,89.0,71.0,1339.6959
307,10.9849205,89.0,71.0,459.48444
308,10.122382,89.0,71.0,1024.1572
309,10.637145,89.0,71.0,1401.9199
310,9.778511,89.0,71.0,2015.5697
311,8.486963,89.0,71.0,3015.5698
312,9.34292,89.0,71.0,3755.0093
313,9.06411,89.0,71.0,3866.483
314,9.112785,89.0,71.0,2866.483
315,9.536795,88.0,71.0,3750.9873
316,8.282808,89.0,71.0,3681.6814
317,9.239748,89.0,71.0,4281.2266
318,8.581223,89.0,71.0,5281.2266
319,7.757591,89.0,71.0,4446.517
320,6.623787,89.0,71.0,5446.517
321,8.082418,89.0,71.0,5490.3857
322,7.482009,89.0,71.0,4584.546
323,6.0174284,89.0,71.0,4864.5317
324,6.246017,89.0,71.0,5284.628
325,5.2792587,89.0,71.0,5054.739
326,4.98996,89.0,71.0,4530.2393
327,6.306694,89.0,71.0,3580.0376
328,8.094958,89.0,71.0,4215.2446
329,10.428291,89.0,71.0,3215.2446
330,9.588739,89.0,71.0,2215.2446
331,10.171159,89.0,71.0,2520.7761
332,11.180928,88.0,71.0,2771.9065
333,11.076728,88.0,71.0,3096.7769
334,12.141853,88.0,71.0,3036.834
335,10.475186,88.0,71.0,2036.834
336,11.2170725,88.0,71.0,1973.7965
337,10.374576,88.0,71.0,982.62054
338,11.457346,88.0,71.0,850.3806
339,9.736039,88.0,71.0,241.35974
340,7.915792,88.0,71.0,192.32443
341,6.1708474,88.0,71.0,0.0
342,6.5661383,87.0,71.0,0.0
343,5.7474194,88.0,71.0,0.0
344,4.9213977,87.0,71.0,235.80748
345,5.588064,89.0,71.0,1235.8075
346,5.450734,89.0,71.0,972.58484
347,5.507886,86.0,71.0,301.6468
348,4.566118,83.0,71.0,1301.6467
349,5.7921147,82.0,70.0,623.656
350,4.682602,82.0,70.0,1623.656
351,5.325301,82.0,70.0,2024.0964
352,6.078472,81.0,70.0,2601.6917
353,5.914068,83.0,70.0,3546.0107
354,5.265795,85.0,70.0,3661.3425
355,4.233465,83.0,69.0,4154.3926
356,4.3033466,82.0,69.0,3154.3926
357,5.6366796,82.0,69.0,2154.3926
358,5.7695966,82.0,69.0,1495.9792
359,6.8414097,83.0,69.0,864.2183
360,7.1418796,87.0,69.0,0.0
361,8.726347,88.0,69.0,86.61628
362,-9.403709,94.0,70.0,0.0
363,-11.176116,94.0,70.0,1000.0
364,-7.361819,93.0,70.0,320.27527
365,6.548751,87.0,70.0,95.66078
366,6.900071,85.0,70.0,0.0
367,7.223126,89.0,70.0,0.0
368,6.7637353,89.0,70.0,0.0
369,7.3314795,86.0,70.0,0.0
370,7.601452,86.0,70.0,0.0
371,2.814043,91.0,70.0,0.0
372,8.122999,89.0,71.0,0.0
373,7.5973253,86.0,71.0,661.9324
374,8.167026,86.0,71.0,101.780396
375,8.058538,85.0,70.0,0.0
376,7.9732275,84.0,70.0,0.0
377,6.992274,84.0,70.0,1000.0
